"Date & Time","use [kW]","gen [kW]","12:FurnaceHRV [kW]","12:FurnaceHRV* [kVA]","13:CellarOutlets [kW]","13:CellarOutlets* [kVA]","14:WashingMachine [kW]","14:WashingMachine* [kVA]","15:FridgeRange [kW]","15:FridgeRange* [kVA]","16:DisposalDishwasher [kW]","16:DisposalDishwasher* [kVA]","17:Microwave [kW]","17:Microwave* [kVA]","18:KitchenLights [kW]","18:KitchenLights* [kVA]","19:BedroomOutlets [kW]","19:BedroomOutlets* [kVA]","20:BedroomLights [kW]","20:BedroomLights* [kVA]","21:MasterOutlets [kW]","21:MasterOutlets* [kVA]","22:MasterLights [kW]","22:MasterLights* [kVA]","23:DuctHeaterHRV [kW]","23:DuctHeaterHRV* [kVA]"
2014-06-07 23:59:00,-0.000000000,-0.000000000,-0.018000000,0.038766667,-0.003100000,0.014600000,-0.005983333,0.014383333,-0.122516667,0.203533333,-0.005150000,0.031833333,-0.003433333,0.004233333,-0.003683333,0.008383333,-0.066550000,0.067833333,-0.005083333,0.011100000,-0.102500000,0.107500000,-0.008833333,0.045116667,-0.021966667,0.107950000
2014-06-07 23:58:00,-0.000000000,-0.000000000,-0.018000000,0.038666667,-0.003100000,0.014583333,-0.005966667,0.014350000,-0.122916667,0.203916667,-0.005150000,0.031850000,-0.003416667,0.004233333,-0.003683333,0.008400000,-0.066550000,0.067833333,-0.005066667,0.011100000,-0.102283333,0.107266667,-0.008833333,0.045116667,-0.022100000,0.109233333
2014-06-07 23:57:00,-0.000000000,-0.000000000,-0.018000000,0.038733333,-0.003100000,0.014616667,-0.005983333,0.014383333,-0.122983333,0.204050000,-0.005150000,0.031883333,-0.003416667,0.004250000,-0.003683333,0.008383333,-0.066583333,0.067883333,-0.005083333,0.011100000,-0.102216667,0.107216667,-0.008833333,0.045150000,-0.021350000,0.094416667
2014-06-07 23:56:00,-0.000000000,-0.000000000,-0.018033333,0.038916667,-0.003100000,0.014616667,-0.005966667,0.014383333,-0.122350000,0.203733333,-0.005166667,0.031900000,-0.003416667,0.004233333,-0.003683333,0.008400000,-0.066683333,0.067966667,-0.005083333,0.011116667,-0.102666667,0.107766667,-0.008866667,0.045183333,-0.024566667,0.093116667
2014-06-07 23:55:00,-0.000000000,-0.000000000,-0.018083333,0.039200000,-0.003116667,0.014650000,-0.005983333,0.014300000,-0.121633333,0.203566667,-0.005150000,0.032016667,-0.003416667,0.004250000,-0.003700000,0.008400000,-0.066816667,0.068100000,-0.005066667,0.011100000,-0.102916667,0.107983333,-0.008866667,0.045316667,-0.021266667,0.087033333
2014-06-07 23:54:00,-0.000000000,-0.000000000,-0.018183333,0.039616667,-0.003116667,0.014700000,-0.005966667,0.014283333,-0.119666667,0.202800000,-0.005200000,0.032133333,-0.003450000,0.004266667,-0.003700000,0.008433333,-0.067000000,0.068283333,-0.005100000,0.011133333,-0.103283333,0.108350000,-0.008883333,0.045483333,-0.022566667,0.101900000
2014-06-07 23:53:00,-0.000000000,-0.000000000,-0.018350000,0.040316667,-0.003133333,0.014800000,-0.005983333,0.014333333,-0.134366667,0.213350000,-0.005183333,0.032383333,-0.003466667,0.004316667,-0.003683333,0.008466667,-0.067333333,0.068600000,-0.005100000,0.011166667,-0.103450000,0.108516667,-0.008933333,0.045800000,-0.021866667,0.103583333
2014-06-07 23:52:00,-0.000000000,-0.000000000,-0.018283333,0.039966667,-0.003133333,0.014766667,-0.005983333,0.014333333,-0.031833333,0.048133333,-0.005200000,0.032316667,-0.003400000,0.004233333,-0.003900000,0.008316667,-0.067183333,0.068466667,-0.005133333,0.011183333,-0.102766667,0.107766667,-0.008950000,0.045750000,-0.022683333,0.103650000
2014-06-07 23:51:00,-0.000000000,-0.000000000,-0.018250000,0.039916667,-0.003116667,0.014766667,-0.005983333,0.014350000,-0.005250000,0.009000000,-0.005200000,0.032316667,-0.003383333,0.004200000,-0.003933333,0.008300000,-0.067133333,0.068416667,-0.005150000,0.011200000,-0.102800000,0.107850000,-0.008950000,0.045716667,-0.023550000,0.103350000
2014-06-07 23:50:00,-0.000000000,-0.000000000,-0.018250000,0.039850000,-0.003133333,0.014766667,-0.005983333,0.014333333,-0.005233333,0.008966667,-0.005200000,0.032316667,-0.003400000,0.004233333,-0.003966667,0.008300000,-0.067166667,0.068450000,-0.005133333,0.011183333,-0.102933333,0.107966667,-0.008933333,0.045716667,-0.021466667,0.104933333
