Day,' Time','use [kW]','03:OfficeOutlets* [kVA]','04:LivingRoomOutlets* [kVA]','05:GuestBathOutlets* [kVA]','06:MasterBathOutlets* [kVA]','07:LivingRoomPatioLights* [kVA]','08:GuestBathHallLights* [kVA]','09:DiningRoomOutlets* [kVA]','10:OutsideOutlets* [kVA]','11:CellarLights* [kVA]','14:WashingMachine* [kVA]','16:DisposalDishwasher* [kVA]','17:Microwave* [kVA]','18:KitchenLights* [kVA]','19:BedroomOutlets* [kVA]','20:BedroomLights* [kVA]','21:MasterOutlets* [kVA]','22:MasterLights* [kVA]','24:CounterOutlets1* [kVA]','25:CounterOutlets2* [kVA]','26:KitchenOutlets* [kVA]',Cluster
1,103400,1.90617,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,cluster12
1,103300,1.91586,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,cluster12
1,103200,1.84703,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,cluster12
1,103100,1.80665,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,cluster12
1,103000,1.96818,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,cluster12
1,102900,1.86765,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,cluster12
1,105300,2.6412,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,cluster12
1,105200,2.7075,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,cluster12
1,105100,2.5874,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,cluster12
1,105000,2.62177,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,cluster12
1,104900,2.64965,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,cluster12
1,104800,2.6527,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,cluster12
1,104700,2.66963,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,cluster12
1,104600,2.74917,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,cluster12
