Day,' Time','use [kW]','03:OfficeOutlets* [kVA]','04:LivingRoomOutlets* [kVA]','05:GuestBathOutlets* [kVA]','06:MasterBathOutlets* [kVA]','07:LivingRoomPatioLights* [kVA]','08:GuestBathHallLights* [kVA]','09:DiningRoomOutlets* [kVA]','10:OutsideOutlets* [kVA]','11:CellarLights* [kVA]','14:WashingMachine* [kVA]','16:DisposalDishwasher* [kVA]','17:Microwave* [kVA]','18:KitchenLights* [kVA]','19:BedroomOutlets* [kVA]','20:BedroomLights* [kVA]','21:MasterOutlets* [kVA]','22:MasterLights* [kVA]','24:CounterOutlets1* [kVA]','25:CounterOutlets2* [kVA]','26:KitchenOutlets* [kVA]',Cluster
1,174700,1.38108,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,cluster4
1,174600,1.38287,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,cluster4
1,174500,1.39385,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,cluster4
1,174400,1.72708,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,cluster4
1,174300,1.80813,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,cluster4
1,174200,2.23683,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,cluster4
1,174100,2.88258,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,cluster4
1,174000,1.84433,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,cluster4
1,173900,1.63923,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,cluster4
1,173800,2.76247,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,cluster4
1,173700,2.94047,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,cluster4
1,173600,3.3304,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,cluster4
1,173500,2.98007,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,cluster4
1,173400,1.59418,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,cluster4
1,173300,1.4467,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,cluster4
1,173200,1.51892,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,cluster4
1,173100,1.55205,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,cluster4
