Instance_number,Day,' Time','use [kW]','02:Dryer* [kVA]','03:OfficeOutlets* [kVA]','04:LivingRoomOutlets* [kVA]','05:GuestBathOutlets* [kVA]','06:MasterBathOutlets* [kVA]','07:LivingRoomPatioLights* [kVA]','08:GuestBathHallLights* [kVA]','09:DiningRoomOutlets* [kVA]','10:OutsideOutlets* [kVA]','11:CellarLights* [kVA]','14:WashingMachine* [kVA]','16:DisposalDishwasher* [kVA]','17:Microwave* [kVA]','18:KitchenLights* [kVA]','19:BedroomOutlets* [kVA]','20:BedroomLights* [kVA]','21:MasterOutlets* [kVA]','22:MasterLights* [kVA]','24:CounterOutlets1* [kVA]','25:CounterOutlets2* [kVA]','26:KitchenOutlets* [kVA]',Cluster
40318,0,0,0.895817,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,cluster6
40319,0,235900,0.290933,0.015733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster6
40320,0,235800,0.2873,0.015767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster6
40321,0,235700,0.345717,0.015767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster6
40322,0,235600,0.383233,0.0157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster6
40323,0,235500,0.376233,0.015733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster6
40324,0,235400,0.376517,0.015767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster6
40325,0,235300,0.377283,0.0157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster6
40326,0,235200,0.377433,0.0157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster6
40327,0,235100,0.45095,0.015667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster6
40328,0,235000,0.73885,0.0158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster6
40329,0,234900,0.727233,0.015767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster6
40330,0,234800,0.808383,0.015767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster6
40331,0,234700,0.844567,0.015833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster6
40332,0,234600,0.842783,0.015767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster6
40333,0,234500,0.970233,0.0159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster6
40334,0,234400,1.00675,0.016033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster6
40335,0,234300,1.018833,0.016033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster6
40336,0,234200,1.016867,0.015967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster6
40337,0,234100,1.028967,0.015933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster6
40338,0,234000,1.031383,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster6
40339,0,233900,1.02575,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster6
40340,0,233800,1.03085,0.015933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster6
40341,0,233700,1.023483,0.015967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster6
40342,0,233600,0.99805,0.015933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster6
40343,0,233500,0.857833,0.0158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster6
40344,0,233400,0.88415,0.015767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster6
40345,0,233300,0.895983,0.0158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster6
40346,0,233200,0.9123,0.0158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster6
40347,0,233100,0.957667,0.0158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster6
40348,0,233000,1.04955,0.0159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster6
40349,0,232900,0.512567,0.015833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster6
